EID,CaptureTime,SUID,Event,Version,WireName,Headline,TimeOfArrival,LanguageString,Web_URL,Hot_Level,TimeOfUpdate,AssignedTickersId,AssignedTickersScore,Assigned_ID_BB_GLOBAL_COMPANY,Assigned_ID_BB_GLOBAL,AssignedTopicsId,Assigned_Topics_Score,AssignedPeopleId,AssignedPeopleScore,DerivedTickersId,DerivedTickersScore,Derived_ID_BB_GLOBAL_COMPANY,Derived_ID_BB_GLOBAL,DerivedTopicsId,DerivedTopicsScore,DerivedPeopleId,DerivedPeopleScore
80178,2021-06-24T10:22:31.158+00:00,QV7BHIMB2SJW,ADD_STORY,ORIGINAL,NS6,财联社: 金鸿顺：2020年度权益分派10派0.2元 股权登记日6月30日,2021-06-24T10:22:30.850+00:00,CHINESE_SIMP,https://www.cls.cn/detail/776332,0,2021-06-24T10:22:30.856+00:00,,,,,,,,,603922@CH,98,BBG00CMP7MD3,BBG00CMP7MG0,CPNYCNT1;MISC;SRCRANK2,100;100;100,,
80001,2021-01-04T17:44:13.440+00:00,QM7YVWT0AFBA,UPDATE_ATTRIBUTE,ORIGINAL,BFW,Who Issues Emergency Use Validation for Pfizer-Biontech Vaccine,2020-12-31T19:49:18.326+00:00,ENGLISH,,0,2021-01-04T17:44:13.359+00:00,0751538DSW;BNTX,70;70,BBG001HD5996;BBG00Q70B350,BBG004DF5W70;BBG00Q70B3V1,BFWAS;BIZNEWS;MSCIWORLD;ALLWWCUR;GOV;BFWEM;BFWEQEM;BFWUS;HEATOPZ3;GOVMISC;ALLTOP;EUROPE;VACCINE;SWISS;BFWEQ;HEATOP;FIRSTWORD;BFW;ORIGINAL;UN;MSCIDVEUR;BFWEU,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,18874695,70,0751538DSW;BNTX;PFE,90;96;100,BBG001HD5996;BBG00Q70B350;BBG001FDZ744,BBG004DF5W70;BBG00Q70B3V1;BBG000BR2B91,BFWAS;BIZNEWS;MSCIWORLD;EQTY;VIRALILL;HEAGVT;BUSINESS;ALLWWCUR;BONDWIRES;DRG;GENHEA;MISC;BFWFOCUS;GOV;BFWEM;INFECT;BFWEQEM;EMEAREGION;ILLNESS;EQUITYKEY;HEA;BFWUS;BGOVBILLGO;MAJOR;CORONAVIR;HEATOPZ3;WORLD;GOVMISC;INDUSTRIES;DEVECO;G10MEMB;WORLDHEA;ALLTOP;EUROPE;VACCINE;SWISS;COS;SRCRANK1;BGOVCODES;BFWEQ;HEATOP;SPREGIONS;POLIRISK;MEDICAL;FIRSTWORD;BFW;ORIGINAL;UN;MSCIDVEUR;WEU;BFWEU,100;100;100;100;96;100;100;100;100;100;100;100;100;100;100;96;100;91;96;100;100;100;100;100;96;100;100;100;100;70;70;100;100;91;98;70;100;100;100;100;100;100;100;98;100;100;100;100;100;70;100,18874695,70
80001,2021-01-19T21:52:48.108+00:00,QN45UWT0AFB4,UPDATE_ATTRIBUTE,ORIGINAL,BN,"As WHO Fumes at Western Drugmakers, China Fills Void on Vaccines",2021-01-19T08:54:55.699+00:00,ENGLISH,,0,2021-01-19T21:52:47.610+00:00,,,,,BIZNEWS;MSCIWORLD;NORTHAM;AMFEAT;USGOV;VIRALILL;ONWEB;ASIAX;BUSINESS;ALLWWCUR;DRG;GENHEA;READ150;GOV;READ100;INFECT;US;CAMB;NASIA;VOD;ILLNESS;WWTOPAM;HEA;BRIC;READ25;EXE;WWTOP;GENTOP;CORONAVIR;TOP;CHSTD;WORLDHEA;ASFEAT;CHGOV;WWTOPAS;ALLTOP;READ500;READ50;MSCIEMAS;VACCINE;WWTOPZ6;WWTOPZ5;CHINA;COS;GLOBFEAT;MSCINAMER;FINNEWS;READ250;WWTOPGLOB;ASIATOP;READ;EM;ORIGINAL;WWTOPFEAT;ASIA;SEASIA,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,1252249;13387985;14013843;15747810;16068070;16155550;18471802;19535159;19925304;21026533;21090229;2127407;3198507;3527903;4311464;4387480,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,SVA;0751538DSW;AZN@LN;BNTX;MRNA,40;65;26;40;40,BBG001G7BJ91;BBG001HD5996;BBG001FFFG32;BBG00Q70B350;BBG003PHHZR3,BBG000D0D8P5;BBG004DF5W70;BBG000C0YGH4;BBG00Q70B3V1;BBG003PHHZT1,MINT;BIZNEWS;MSCIWORLD;NORTHAM;AMFEAT;WNEWS;USGOV;VIRALILL;ONWEB;HEAGVT;ASIAX;BUSINESS;ALLWWCUR;G7MEMB;INDO;BONDWIRES;DRG;GENHEA;MISC;MISCCOS;READ150;GOV;READ100;INFECT;US;CAMB;NASIA;ATTACHMENT;REGIONFILT;VOD;ILLNESS;WWTOPAM;HEA;BRIC;READ25;EXE;BGOVBILLGO;WWTOP;GENTOP;MAJOR;IDPRES;CORONAVIR;TOP;CHSTD;WORLD;GOVMISC;GOVCHG;INDUSTRIES;DEVECO;PHOTO;G10MEMB;WORLDHEA;ASFEAT;CHGOV;WWTOPAS;GEN;ALLTOP;READ500;READ50;MSCIEMAS;GMS;VACCINE;TIMENI;WWTOPZ6;WWTOPZ5;CHINA;COS;SRCRANK1;TIMECO;GLOBFEAT;MSCINAMER;BGOVCODES;FINNEWS;READ250;BZNEWS;DC;WWTOPGLOB;ASIATOP;SPREGIONS;READ;POLIRISK;MEDICAL;EM;IDGOV;ORIGINAL;UN;WWTOPFEAT;ASIA;SEASIA,60;100;100;100;100;50;91;100;100;100;100;100;100;98;60;100;100;100;100;50;100;100;100;100;98;70;100;100;90;100;100;100;100;100;100;70;100;100;100;100;60;100;100;86;100;100;50;100;98;100;98;100;100;96;100;70;100;100;100;100;70;98;100;100;100;99;100;100;100;100;100;100;100;100;90;91;100;100;100;100;100;100;100;60;100;100;100;100;97,1252249;13387985;14013843;15747810;16068070;16155550;18471802;19535159;19925304;21026533;21090229;2127407;3198507;3527903;4311464;4387480,70;70;70;70;70;95;70;70;70;70;70;70;70;70;70;70
80001,2020-11-24T11:00:48.380+00:00,QKARXB6K50XS,UPDATE_ATTRIBUTE,ORIGINAL,BN,*IMBI: SEE 4Q ADJ EBITDA MID-TO-HIGH SINGLE-DIGIT MILLIONS,2020-11-24T11:00:48.000+00:00,ENGLISH,,0,2020-11-24T11:00:48.172+00:00,IMBI,95,BBG001FF5XJ9,BBG000D7Y779,BIZNEWS;MSCIWORLD;SVC;NORTHAM;ERN;MN;ACEXCLUDE;ADV;BUSINESS;HEADS;US;USMW;MED;SENTIMENT;COS;MSCINAMER;FINNEWS;RET;POSNEWS;RLSHEAD;RULES;IP,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,1905183;1933600,70;70,IMBI,96,BBG001FF5XJ9,BBG000D7Y779,BIZNEWS;MSCIWORLD;SVC;NORTHAM;ERN;MN;ACEXCLUDE;CPNYCNT1;ADV;BUSINESS;G7MEMB;BONDWIRES;CONS;TMT;HEADS;MISC;MISCCOS;LAW;GOV;US;USMW;MED;ERNGUID;EQUITYKEY;BGOVBILLGO;PADDIST;WORLD;INDUSTRIES;DEVECO;G10MEMB;GUIDANCE;PADD2;SENTIMENT;COS;SRCRANK1;MSCINAMER;BGOVCODES;FINNEWS;RET;POSNEWS;SPREGIONS;POLIRISK;RLSHEAD;RULES;ALLSTATES;IP,100;100;70;98;100;70;70;100;70;100;91;100;70;91;100;100;70;70;70;91;91;91;100;100;100;70;100;100;91;91;100;70;100;100;100;100;100;100;70;100;100;70;100;70;70;70,1905183;1933600,70;70
80001,2021-08-18T17:20:18.291+00:00,QY1DMDDWX2PY,UPDATE_ATTRIBUTE,UPDATE,BFW,Traton CFO Schulz Seeks to Leave Company: Manager Magazin (1),2021-08-18T13:05:49.858+00:00,ENGLISH,,0,2021-08-18T17:20:18.087+00:00,8TRA@GR;VOW@GR,70;70,BBG001G31B61;BBG001FFG1S7,BBG000WFDW23;BBG000BCH458,BIZNEWS;MSCIWORLD;WNEWS;TRN;BUSINESS;READ150;CMPINIT;READ100;UPDATE;CFOCHG;READ25;WWTOP;MGMTCHG;CMP;ALLTOP;EMC;EUROPE;READ50;GER;TRK;COS;FINNEWS;BFWEQ;CORPGOV;AUT;READ;EUFEAT;FIRSTWORD;BFW;WWTOPFEAT;MSCIDVEUR;WWTOPEU;BFWEU,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,16688566;17677747;20657473;21152044;21188585;6066219,70;70;70;70;70;70,8TRA@GR;MAN@GR;VOW@GR;6368691ZGR,97;75;95;31,BBG001G31B61;BBG001FJV184;BBG001FFG1S7;BBG001GDZYQ0,BBG000WFDW23;BBG000BC7RM9;BBG000BCH458;BBG001BKGZ41,BIZNEWS;MSCIWORLD;EQTY;WNEWS;CONSD;TRN;BUSINESS;G7MEMB;BONDWIRES;CONS;MISC;BFWFOCUS;MISCCOS;READ150;CMPINIT;READ100;UPDATE;EMEAREGION;AUTOMOTIVE;EQUITYKEY;CEU;CFOCHG;READ25;BGOVBILLGO;WWTOP;MAJOR;MGMTCHG;WORLD;INDUSTRIES;DEVECO;CMP;G10MEMB;ALLTOP;EMC;EUROPE;ESGRES;READ50;INDUSTRIAL;GER;TRK;TIMENI;COS;SRCRANK1;TIMECO;BGOVCODES;FINNEWS;BFWEQ;NEWSROOMBA;CORPGOV;AUT;SPREGIONS;READ;EUFEAT;FIRSTWORD;ESGGOV;ESG;BFW;WWTOPFEAT;MSCIDVEUR;WEU;WWTOPEU;BFWEU,100;100;100;100;70;91;100;70;100;70;100;100;100;100;100;100;100;91;70;100;70;100;100;100;100;100;100;100;98;70;100;70;100;91;91;100;100;91;70;70;100;100;100;100;100;100;100;100;70;70;100;100;100;100;100;100;100;100;100;70;100;100,16688566;17677747;20657473;21152044;21188585;6066219,70;70;95;95;70;77
80178,2021-03-22T22:24:46.455+00:00,QQE69AMB2SJN,ADD_STORY,ORIGINAL,NS5,WaldeckischeLand: Corona-Gipfel: Maßnahmen für Merkel nicht genug – Pause dauert schon vier Stunden,2021-03-22T22:24:46.206+00:00,GERMAN,https://www.wlz-online.de/politik/corona-gipfel-live-lockdown-ausgangssperre-notbremse-coronavirus-ostern-pandemie-covid-19-gesundheit-news-zr-90256442.html,0,2021-03-22T22:24:46.211+00:00,,,,,,,,,,,,,BIZNEWS;MSCIWORLD;G7MEMB;ELECT;MISC;GOV;REGIONFILT;EMEAREGION;CEU;POL;WORLD;GECHAN;DEVECO;G10MEMB;GEN;EMC;EUROPE;GER;GRNEWS;SPREGIONS;POLIRISK;SRCRANK4;GEGOV;MSCIDVEUR;WEU,100;100;100;69;100;100;100;100;100;93;100;99;100;100;93;100;100;100;100;100;100;100;100;100;100,15106804;1516502;17593391;18314262;20546959;4311891,70;95;70;70;70;70
80178,2021-05-14T20:33:50.714+00:00,QT46GEMB2SJP,ADD_STORY,ORIGINAL,NS1,Aviation Pros: MTU Maintenance Delivers 500th CF34-10E Engine to Kenya Airways,2021-05-14T20:33:50.528+00:00,ENGLISH,https://www.aviationpros.com/engines-components/press-release/21222894/mtu-maintenance-hannover-gmbh-mtu-maintenance-delivers-500th-cf3410e-engine-to-kenya-airways,0,2021-05-14T20:33:50.532+00:00,,,,,,,,,,,,,BIZNEWS;CONSD;BUSINESS;CONS;AFRICAX;MISC;AFRICA;EMEAREGION;WORLD;INDUSTRIES;AIR;PASSTRN;COS;AME;AVIATION;SPREGIONS;SUBSAHARAN;EM;SRCRANK4,100;100;100;100;94;100;100;100;100;100;100;100;100;100;100;100;94;100;100,,
80001,2020-10-27T14:37:05.402+00:00,QIV79TT0G1KX,ADD_STORY,ORIGINAL,BFW,*白宮新聞秘書McEnany：刺激法案在大選前通過的可能性很低,2020-10-27T14:37:05.256+00:00,CHINESE_TRAD,,0,2020-10-27T14:37:05.265+00:00,,,,,BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;HEADS;BFWRTTW;BFWGOV;GOV;CORONASTIM;US;EXE;POL;BFWCH;BFWTW;BFWRTCH;CFWFX;MSCINAMER;BFWFXTW;TOPBFW;FIRSTWORD;BFW,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,19192904;21343665,70;70,,,,,BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;DEBTKEY;VIRALILL;G7MEMB;BONDWIRES;GENHEA;HEADS;ELECT;MISC;BFWRTTW;BFWFOCUS;FIALL;BFWGOV;GOV;CORONASTIM;INFECT;US;BFWFI;ILLNESS;EQUITYKEY;BFWRATE;EXE;BGOVBILLGO;CORONAVIR;POL;WORLD;BFWCH;BFWTW;BNLANG;DEVECO;G10MEMB;GEN;BFWRTCH;SRCRANK1;CFWFX;MSCINAMER;BGOVCODES;DC;HBN;BFWFXTW;TOPBFW;SPREGIONS;POLIRISK;FIRSTWORD;BFW;RATESKEY;FISCAL;FIASST,100;100;100;91;70;100;70;98;100;70;100;98;100;100;100;70;100;100;70;70;98;100;70;100;100;70;100;70;100;100;100;100;100;98;98;100;100;100;100;100;100;91;100;100;100;100;100;100;100;100;70;70,19192904;21343665,70;70
80178,2020-10-31T10:17:41.407+00:00,QJ29C1MB2SJR,UPDATE_ATTRIBUTE,ORIGINAL,NS8,Today.ng: Steve Bruce backs Mike Ashley after pay-per-view statement,2020-10-31T10:04:49.306+00:00,ENGLISH,https://www.today.ng/sport/football/steve-bruce-backs-mike-ashley-pay-view-statement-322563,0,2020-10-31T10:17:41.192+00:00,,,,,,,,,,,,,BIZNEWS;VIRALILL;BUSINESS;TMT;GENHEA;MISC;INFECT;NEWCASTLE;CAB;MED;ILLNESS;CORONAVIR;SOCCER;INDUSTRIES;SPORTS;BFBNEWS;COS;SRCRANK3;TVNEWS;ENT;BFBTEAMS;BFBALL,50;95;50;50;95;100;95;100;50;50;95;50;100;50;100;100;50;100;50;50;100;100,,
80001,2021-07-15T07:30:07.441+00:00,QW9ZI7GQOFSW,ADD_1STPASS,ORIGINAL,BN,OMX Stockholm Index Rises 0.2%; SEB Leads Advance,2021-07-15T07:30:07.437+00:00,ENGLISH,,0,,,,,,BIZNEWS;MSCIWORLD;SWEUPD;BUSINESS;MARKETS;REGIONBAI;CSM;CMP;SSS;EUROPE;SCANDSTK;STK;FINNEWS;SWEDE;SCAND;MSCIDVEUR;CMPAUTO,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,,,,,,,BIZNEWS;MSCIWORLD;SWEUPD;BUSINESS;MARKETS;REGIONBAI;CSM;CMP;SSS;EUROPE;SCANDSTK;STK;FINNEWS;SWEDE;SCAND;MSCIDVEUR;CMPAUTO,70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70,,
